MissionID,CategoryID,Unlock,Title,Summary
MI0000,CA0000,1,腹ペコの修理屋,チュートリアルをクリアした。エラー状態のヘッドを見つける。
MI0001,CA0000,1,自己紹介,エリア１のステージを全てクリアする。ヘッドの修理が完了する。エラー状態のボディを見つける。
MI0002,CA0000,1,初めての差し戻し,エリア２までのステージを全てクリアする。ボディの修理が完了する。ヘッドとボディのITが失敗する。
MI0003,CA0000,1,記録に無くても記憶には,エリア２までのステージを全てクリアする。ボディの修理が完了する。ヘッドとボディのITが成功する。エラー状態のライトアームとレフトアームを見つける。
MI0004,CA0000,1,スクラップ,エリア２までかつ、エリア３を全てクリアする。ライトアームの修理が完了する。ライトアームとボディのITが成功する。
MI0005,CA0000,1,トモダチ,エリア２までかつ、エリア４を全てクリアする。レフトアームの修理が完了する。レフトアームとボディのITが成功する。
MI0006,CA0000,1,感情のロジック,エリア４までのステージを全てクリアする。エラー状態のコアを見つける。
MI0007,CA0000,1,約束,エリア５ステージ番号５－３まで全てクリアする。
MI0008,CA0000,1,しようがない,エリア５ステージ番号５－４まで全てクリアする。感情コードを繋げてエンディングを見た。
MI0009,CA0000,0,仕様じゃない,エリア５ステージ番号５－４まで全てクリアする。感情コードを繋げずエンディングを見た。
MI0010,,0,,ステージ1-1の1つ目のヒトデを獲得する
MI0011,,0,,ステージ1-1の2つ目のヒトデを獲得する
MI0012,,0,,ステージ2-1の1つ目のヒトデを獲得する
MI0013,,0,,ステージ2-1の2つ目のヒトデを獲得する
MI0014,,0,,ステージ2-1の3つ目のヒトデを獲得する
MI0015,,0,,ステージ2-1の4つ目のヒトデを獲得する
MI0016,,0,,ステージ2-1の5つ目のヒトデを獲得する
MI0017,,0,,ステージ2-1の6つ目のヒトデを獲得する
MI0018,,0,,ステージ2-1の7つ目のヒトデを獲得する
MI0019,,0,,ステージ2-1の8つ目のヒトデを獲得する
MI0020,,0,,ステージ2-1の9つ目のヒトデを獲得する
MI0021,,0,,ステージ2-2の1つ目のヒトデを獲得する
MI0022,,0,,ステージ2-2の2つ目のヒトデを獲得する
MI0023,,0,,ステージ2-2の3つ目のヒトデを獲得する
MI0024,,0,,ステージ2-2の4つ目のヒトデを獲得する
MI0025,,0,,ステージ2-2の5つ目のヒトデを獲得する
MI0026,,0,,ステージ2-2の6つ目のヒトデを獲得する
MI0027,,0,,ステージ2-2の7つ目のヒトデを獲得する
MI0028,,0,,ステージ2-2の8つ目のヒトデを獲得する
MI0029,,0,,ステージ2-2の9つ目のヒトデを獲得する
MI0030,,0,,ステージ2-2の10つ目のヒトデを獲得する
MI0031,,0,,ステージ2-2の11つ目のヒトデを獲得する
MI0032,,0,,ステージ2-2の12つ目のヒトデを獲得する
MI0033,,0,,ステージ2-3の1つ目のヒトデを獲得する
MI0034,,0,,ステージ2-3の2つ目のヒトデを獲得する
MI0035,,0,,ステージ2-3の3つ目のヒトデを獲得する
MI0036,,0,,ステージ2-3の4つ目のヒトデを獲得する
MI0037,,0,,ステージ2-4の1つ目のヒトデを獲得する
MI0038,,0,,ステージ2-4の2つ目のヒトデを獲得する
MI0039,,0,,ステージ2-4の3つ目のヒトデを獲得する
MI0040,,0,,ステージ2-4の4つ目のヒトデを獲得する
MI0041,,0,,ステージ2-4の5つ目のヒトデを獲得する
MI0042,,0,,ステージ2-4の6つ目のヒトデを獲得する
MI0043,,0,,ステージ2-4の7つ目のヒトデを獲得する
MI0044,,0,,ステージ2-4の8つ目のヒトデを獲得する
MI0045,,0,,ステージ3-1の1つ目のヒトデを獲得する
MI0046,,0,,ステージ3-1の2つ目のヒトデを獲得する
MI0047,,0,,ステージ3-1の3つ目のヒトデを獲得する
MI0048,,0,,ステージ3-1の4つ目のヒトデを獲得する
MI0049,,0,,ステージ3-2の1つ目のヒトデを獲得する
MI0050,,0,,ステージ3-2の2つ目のヒトデを獲得する
MI0051,,0,,ステージ3-2の3つ目のヒトデを獲得する
MI0052,,0,,ステージ3-2の4つ目のヒトデを獲得する
MI0053,,0,,ステージ3-2の5つ目のヒトデを獲得する
MI0054,,0,,ステージ3-2の6つ目のヒトデを獲得する
MI0055,,0,,ステージ3-2の7つ目のヒトデを獲得する
MI0056,,0,,ステージ3-2の8つ目のヒトデを獲得する
MI0057,,0,,ステージ3-2の9つ目のヒトデを獲得する
MI0058,,0,,ステージ3-2の10つ目のヒトデを獲得する
MI0059,,0,,ステージ3-3の1つ目のヒトデを獲得する
MI0060,,0,,ステージ3-3の2つ目のヒトデを獲得する
MI0061,,0,,ステージ3-3の3つ目のヒトデを獲得する
MI0062,,0,,ステージ3-3の4つ目のヒトデを獲得する
MI0063,,0,,ステージ3-3の5つ目のヒトデを獲得する
MI0064,,0,,ステージ3-3の6つ目のヒトデを獲得する
MI0065,,0,,ステージ3-3の7つ目のヒトデを獲得する
MI0066,,0,,ステージ3-3の8つ目のヒトデを獲得する
MI0067,,0,,ステージ4-2の1つ目のヒトデを獲得する
MI0068,,0,,ステージ4-2の2つ目のヒトデを獲得する
MI0069,,0,,ステージ4-2の3つ目のヒトデを獲得する
MI0070,,0,,ステージ4-2の4つ目のヒトデを獲得する
MI0071,,0,,ステージ4-2の5つ目のヒトデを獲得する
MI0072,,0,,ステージ4-2の6つ目のヒトデを獲得する
MI0073,,0,,ステージ4-2の7つ目のヒトデを獲得する
MI0074,,0,,ステージ4-2の8つ目のヒトデを獲得する
MI0075,,0,,ステージ4-2の9つ目のヒトデを獲得する
MI0076,,0,,ステージ4-3の1つ目のヒトデを獲得する
MI0077,,0,,ステージ4-3の2つ目のヒトデを獲得する
MI0078,,0,,ステージ4-3の3つ目のヒトデを獲得する
MI0079,,0,,ステージ4-3の4つ目のヒトデを獲得する
MI0080,,0,,ステージ4-3の5つ目のヒトデを獲得する
MI0081,,0,,ステージ5-1の1つ目のヒトデを獲得する
MI0082,,0,,ステージ5-1の2つ目のヒトデを獲得する
MI0083,,0,,ステージ5-1の3つ目のヒトデを獲得する
MI0084,,0,,ステージ5-1の4つ目のヒトデを獲得する
MI0085,,0,,ステージ5-1の5つ目のヒトデを獲得する
MI0086,,0,,ステージ5-1の6つ目のヒトデを獲得する
MI0087,,0,,ステージ5-1の7つ目のヒトデを獲得する
MI0088,,0,,ステージ5-2の1つ目のヒトデを獲得する
MI0089,,0,,ステージ5-2の2つ目のヒトデを獲得する
MI0090,,0,,ステージ5-2の3つ目のヒトデを獲得する
MI0091,,0,,ステージ5-2の4つ目のヒトデを獲得する
MI0092,,0,,ステージ5-2の5つ目のヒトデを獲得する
MI0093,,0,,ステージ5-2の6つ目のヒトデを獲得する
MI0094,,0,,ステージ5-2の7つ目のヒトデを獲得する
MI0095,,0,,ステージ5-2の8つ目のヒトデを獲得する
MI0096,,0,,ステージ5-2の9つ目のヒトデを獲得する
MI0097,,0,,ステージ5-2の10つ目のヒトデを獲得する
MI0098,,0,,ステージ5-2の11つ目のヒトデを獲得する
MI0099,,0,,ステージ5-2の12つ目のヒトデを獲得する
MI0100,,0,,ステージ5-2の13つ目のヒトデを獲得する
MI0101,,0,,ステージ5-2の14つ目のヒトデを獲得する
MI0102,,0,,ステージ5-2の15つ目のヒトデを獲得する
MI0103,,0,,ステージ5-2の16つ目のヒトデを獲得する
MI0104,,0,,ステージ5-2の17つ目のヒトデを獲得する
MI0105,,0,,ステージ5-4の1つ目のヒトデを獲得する
MI0106,,0,,ステージ5-4の2つ目のヒトデを獲得する
MI0107,,0,,ステージ5-4の3つ目のヒトデを獲得する
MI0108,,0,,ステージ5-4の4つ目のヒトデを獲得する
MI0109,,0,,ステージ5-4の5つ目のヒトデを獲得する
MI0110,,0,,ステージ5-4の6つ目のヒトデを獲得する
